Name,Energy (kcal),Protein,Carbohydrate,Fiber,Fat,Cholesterol,has_protein,has_carbs,has_fiber,has_cholesterol
"Chocolate milk, Nesquik, NS as to type of milk",74,3.41,10.09,0.3,2.15,8,Low,Low,Low,Low
"Chocolate milk, Nesquik, made with non-dairy milk",54,1.35,8.41,0.4,1.64,0,Low,Low,Low,Low
"Chocolate milk, reduced sugar, whole",73,3.04,8.38,0,2.92,10,Low,Low,Low,Low
"Chocolate milk, reduced sugar, reduced fat (2%)",63,3.11,8.62,0,1.78,7,Low,Low,Low,Low
"Chocolate milk, reduced sugar, low fat (1%)",57,3.13,8.87,0,0.95,4,Low,Low,Low,Low
"Chocolate milk, reduced sugar, fat free (skim)",49,3.18,8.64,0,0.19,3,Low,Low,Low,Low
"Hot chocolate / cocoa, dry mix, made with water",54,0.9,11.27,0.5,0.54,0,Low,Low,Low,Low
"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",97,3.81,15.51,0.5,2.18,7,Low,Low,Low,Low
"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",83,3.87,15.53,0.5,0.61,3,Low,Low,Low,Low
"Hot chocolate / cocoa, dry mix , made with non-dairy milk",81,1.88,13.9,0.6,1.92,0,Low,Low,Low,Low
"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",65,0.94,11.2,0.5,1.83,4,Low,Low,Low,Low
"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",31,1.26,5.87,0.6,0.24,0,Low,Low,Low,Low
"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",77,4.35,10.37,0.6,1.99,7,Low,Low,Low,Low
"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",54,1.19,8.92,0.1,1.48,0,Low,Low,Low,Low
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",69,2.99,10.44,0,1.73,7,Low,Low,Low,Low
"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",62,4.41,10.39,0.6,0.32,3,Low,Low,Low,Low
"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",56,3.05,10.45,0,0.25,2,Low,Low,Low,Low
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",59,2.31,8.66,0.7,1.72,0,Low,Low,Low,Low
"Strawberry milk, NFS",65,3.2,8.54,0,2.06,8,Low,Low,Low,Low
"Strawberry milk, whole",86,3.03,11.79,0,2.97,11,Low,Low,Low,Low
"Strawberry milk, reduced fat (2%)",71,3.16,10.7,0,1.8,8,Low,Low,Low,Low
"Strawberry milk, low fat (1%)",69,3.13,12.3,0,0.89,5,Low,Low,Low,Low
"Strawberry milk, fat free  (skim)",61,3.18,12.06,0,0.09,3,Low,Low,Low,Low
"Strawberry milk, reduced sugar",59,3.27,6.72,0,2.1,9,Low,Low,Low,Low
"Milk, malted",66,3.19,8.64,0,2.05,8,Low,Low,Low,Low
Eggnog,88,4.55,8.05,0,4.19,59,Low,Low,Low,Medium
"Milk shake, home recipe, chocolate",120,3.47,13.53,0.5,6.14,20,Low,Low,Low,Medium
"Milk shake, home recipe, flavors other than chocolate",113,3.35,11.39,0.2,5.98,23,Low,Low,Low,Medium
"Milk shake, home recipe, chocolate, light",97,3.99,12.93,0.3,3.31,14,Low,Low,Low,Low
"Milk shake, home recipe, flavors other than chocolate, light",92,3.88,13.83,0.1,2.33,13,Low,Low,Low,Low
Milk shake with malt,125,3.76,13.64,0.2,6.11,23,Low,Low,Low,Medium
"Milk shake, fast food, chocolate",150,3.7,20.36,1.6,6.66,23,Low,Medium,Low,Medium
"Milk shake, fast food, flavors other than chocolate",148,3.37,19.59,0.9,6.52,23,Low,Low,Low,Medium
"Milk shake, bottled, chocolate",150,3.7,20.36,1.6,6.66,23,Low,Medium,Low,Medium
"Milk shake, bottled, flavors other than chocolate",148,3.37,19.59,0.9,6.52,23,Low,Low,Low,Medium
Licuado or Batido,75,2.33,13.15,0.6,1.45,6,Low,Low,Low,Low
"Fruit smoothie, NFS",66,2.32,11.98,1.1,1.1,4,Low,Low,Low,Low
"Fruit smoothie, with whole fruit and dairy",66,2.32,11.98,1.1,1.1,4,Low,Low,Low,Low
"Fruit smoothie, with whole fruit and dairy, added protein",79,7.35,10.04,1.1,1.24,5,Low,Low,Low,Low
"Fruit smoothie juice drink, with dairy",65,0.86,15.05,0.9,0.14,1,Low,Low,Low,Low
Chocolate milk drink,49,0.64,10.68,0.6,0.4,0,Low,Low,Low,Low
"Infant formula, NFS",66,1.38,7.12,0,3.56,1,Low,Low,Low,Low
"Infant formula, Similac, NFS",65,1.37,6.9,0,3.6,2,Low,Low,Low,Low
"Infant formula, Similac Alimentum, ready-to-feed",67,1.8,6.77,0,3.63,1,Low,Low,Low,Low
"Infant formula, Similac Alimentum, powder, made with water",67,1.8,6.77,0,3.63,1,Low,Low,Low,Low
"Infant formula, Similac Advance, ready-to-feed",66,1.37,6.87,0,3.62,2,Low,Low,Low,Low
"Infant formula, Similac Advance, powder, made with tap water",66,1.37,6.87,0,3.62,2,Low,Low,Low,Low
"Infant formula, Similac Advance, powder, made with bottled water",66,1.37,6.87,0,3.62,2,Low,Low,Low,Low
"Infant formula, Similac Advance, powder, made with baby water",66,1.37,6.87,0,3.62,2,Low,Low,Low,Low
"Infant formula, Similac Sensitive, ready-to-feed",65,1.4,6.99,0,3.53,2,Low,Low,Low,Low
"Infant formula, Similac Sensitive, powder, made with tap water",65,1.4,6.99,0,3.53,2,Low,Low,Low,Low
"Infant formula, Similac Sensitive, powder, made with bottled water",65,1.4,6.99,0,3.53,2,Low,Low,Low,Low
"Infant formula, Similac Sensitive, powder, made with baby water",65,1.4,6.99,0,3.53,2,Low,Low,Low,Low
"Infant formula, Similac for Spit-Up, ready-to-feed",65,1.38,6.9,0,3.48,0,Low,Low,Low,Low
"Infant formula, Similac for Spit-Up, powder, made with water",65,1.38,6.9,0,3.48,0,Low,Low,Low,Low
"Toddler formula, Similac Go and Grow",58,1.73,5.87,0,3.11,0,Low,Low,Low,Low
"Infant formula, Enfamil, NFS",66,1.43,7.36,0,3.49,1,Low,Low,Low,Low
"Infant formula, Enfamil Infant, ready-to-feed",66,1.4,7.38,0,3.49,0,Low,Low,Low,Low
"Infant formula, Enfamil Infant, powder, made with tap water",66,1.4,7.38,0,3.49,0,Low,Low,Low,Low
"Infant formula, Enfamil Infant, powder, made with bottled water",66,1.4,7.38,0,3.49,0,Low,Low,Low,Low
"Infant formula, Enfamil Infant, powder, made with baby water",66,1.4,7.38,0,3.49,0,Low,Low,Low,Low
"Infant formula, Enfamil AR, ready-to-feed",65,1.6,7.43,0,3.24,0,Low,Low,Low,Low
"Infant formula, Enfamil AR, powder, made with water",65,1.6,7.43,0,3.24,0,Low,Low,Low,Low
"Infant formula, Enfamil Gentlease, ready-to-feed",67,1.51,7.31,0,3.49,2,Low,Low,Low,Low
"Infant formula, Enfamil Gentlease, powder, made with tap water",67,1.51,7.31,0,3.49,2,Low,Low,Low,Low
"Infant formula, Enfamil Gentlease, powder, made with bottled water",67,1.51,7.31,0,3.49,2,Low,Low,Low,Low
"Infant formula, Enfamil Gentlease, powder, made with baby water",67,1.51,7.31,0,3.49,2,Low,Low,Low,Low
"Toddler formula, Enfamil Enfagrow",67,1.7,7,0,3.52,1,Low,Low,Low,Low
"Toddler formula, PediaSure",99,2.86,11.15,0,4.77,2,Low,Low,Low,Low
"Toddler formula, Nido Kinder",62,1.72,6.43,0,3.32,0,Low,Low,Low,Low
"Toddler formula, store brand, beginning or next stage",62,1.72,6.43,0,3.32,0,Low,Low,Low,Low
"Toddler formula, store brand, pediatric shake",99,2.86,11.15,0,4.77,2,Low,Low,Low,Low
"Infant formula, Gerber, NFS",65,1.49,7.26,0,3.33,0,Low,Low,Low,Low
"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",66,1.45,7.3,0,3.34,0,Low,Low,Low,Low
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",66,1.45,7.3,0,3.34,0,Low,Low,Low,Low
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",66,1.45,7.3,0,3.34,0,Low,Low,Low,Low
"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",66,1.45,7.3,0,3.34,0,Low,Low,Low,Low
"Infant formula, Gerber Good Start Gentle, Stage 2",66,1.45,7.3,0,3.34,0,Low,Low,Low,Low
"Toddler formula, Gerber Good Start, Stage 3",62,1.72,6.43,0,3.32,0,Low,Low,Low,Low
"Infant formula, premature, powder, made with water",71,1.96,7.34,0,3.78,2,Low,Low,Low,Low
"Infant formula, premature, ready-to-feed",71,1.96,7.34,0,3.78,2,Low,Low,Low,Low
"Infant formula, organic, powder, made with water",66,1.38,7.12,0,3.56,1,Low,Low,Low,Low
"Infant formula, organic, ready-to-feed",66,1.38,7.12,0,3.56,1,Low,Low,Low,Low
"Infant formula, store brand, advantage or tender, powder, made with tap water",66,1.38,7.12,0,3.56,1,Low,Low,Low,Low
"Infant formula, store brand, advantage or tender, powder, made with bottled water",66,1.38,7.12,0,3.56,1,Low,Low,Low,Low
"Infant formula, store brand, advantage or tender, powder, made with baby water",66,1.38,7.12,0,3.56,1,Low,Low,Low,Low
