Name,Energy (kcal),Protein,Carbohydrate,Fiber,Fat,Cholesterol,has_protein,has_carbs,has_fiber,has_cholesterol
Teriyaki sauce,89,5.93,15.56,0.1,0.02,0,Low,Low,Low,Low
"Teriyaki sauce, reduced sodium",89,5.93,15.58,0.1,0.02,0,Low,Low,Low,Low
Worcestershire sauce,77,0,19.17,0,0,0,Low,Low,Low,Low
"Soybean curd, deep fried",270,18.82,8.86,3.9,20.18,0,Medium,Low,Medium,Low
"Soybean curd, breaded, fried",150,8.39,8.71,0.7,9.62,20,Low,Low,Low,Medium
"Vermicelli, made from soybeans",126,0.04,31.42,1.5,0.04,0,Low,Medium,Low,Low
"Textured vegetable protein, dry",366,51.1,32.9,17.5,3.33,0,High,Medium,High,Low
"Frozen dessert, non-dairy",159,0.87,18.24,0.1,9.27,0,Low,Low,Low,Low
"Soup, bean",67,3.76,11.62,4,0.76,0,Low,Low,Medium,Low
"Soup, bean, canned",47,2.44,8.1,2.7,0.68,0,Low,Low,Low,Low
"Soup, miso or tofu",24,2.21,2.3,0.6,0.85,1,Low,Low,Low,Low
"Soup, bean, canned, reduced sodium",47,2.45,8.12,2.7,0.68,0,Low,Low,Low,Low
"Soup, bean, with meat",84,5.88,10,3.5,2.35,9,Low,Low,Medium,Low
"Soup, split pea, with meat",80,5.57,9.1,3.3,2.42,10,Low,Low,Medium,Low
"Soup, split pea",61,3.55,10.59,3.8,0.7,0,Low,Low,Medium,Low
"Soup, lentil, canned",43,2.48,7.22,2.5,0.64,0,Low,Low,Low,Low
"Soup, lentil, canned, reduced sodium",43,2.49,7.23,2.5,0.64,0,Low,Low,Low,Low
"Soup, lentil",60,3.82,10.2,3.7,0.69,0,Low,Low,Medium,Low
"Soup, lentil, with meat",78,5.94,8.76,3.2,2.3,9,Low,Low,Medium,Low
"Soup, mulligatawany",48,1.68,7,1.8,1.67,0,Low,Low,Low,Low
"Bacon strip, meatless",309,11.69,5.31,2.6,29.52,0,Low,Low,Low,Low
Bacon bits,476,32,28.6,10.2,25.9,0,High,Medium,High,Low
"Breakfast link, pattie, or slice, meatless",255,20.28,8.09,2.8,18.16,0,Medium,Low,Low,Low
"Chicken, meatless, NFS",224,23.64,3.64,3.6,12.73,0,Medium,Low,Medium,Low
"Chicken, meatless, breaded, fried",234,21.28,8.51,4.3,12.77,0,Medium,Low,Medium,Low
"Hot dog, vegetarian",233,19.61,7.7,3.9,13.73,0,Medium,Low,Medium,Low
"Luncheon slice, meatless-beef, chicken, salami or turkey",189,17.78,4.44,1.1,11.11,0,Medium,Low,Low,Low
"Meatball, meatless",197,21,8,4.6,9,0,Medium,Low,Medium,Low
"Veggie burger patty, no bun",177,15.7,14.27,4.9,6.3,5,Medium,Low,Medium,Low
"Swiss steak, with gravy, meatless",180,12.69,14.13,4,8.09,4,Low,Low,Medium,Low
"Pot pie, no meat",242,5.44,27.96,3.5,12.15,5,Low,Medium,Medium,Low
"Tofu and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, with soy-based sauce",92,4.11,4.68,1.2,6.71,0,Low,Low,Low,Low
"Tofu and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, with soy-based sauce",93,4.21,4.4,0.9,6.94,0,Low,Low,Low,Low
"Vegetarian, fillet",290,23,9,6.1,18,0,Medium,Low,High,Low
Vegetarian stew,33,0.67,3.12,1.1,2.15,6,Low,Low,Low,Low
Vegetarian stroganoff,167,7.69,11.78,2.6,10.03,13,Low,Low,Low,Low
"Veggie burger, on bun",224,12.96,30.82,3.5,5.2,3,Low,Medium,Medium,Low
"Veggie burger, on bun, with cheese",243,14,27.23,3,8.43,15,Low,Medium,Medium,Low
Falafel sandwich,265,6.22,27.04,2.5,14.76,1,Low,Medium,Low,Low
"Nuts, NFS",610,19.59,20.9,7.4,53.82,0,Medium,Medium,High,Low
"Almonds, NFS",598,20.96,21.01,10.9,52.54,0,Medium,Medium,High,Low
"Almonds, unroasted",626,21.45,20.03,10.8,51.09,0,Medium,Medium,High,Low
"Almonds, salted",601,20.13,20.18,10.5,53.43,0,Medium,Medium,High,Low
"Almonds, lightly salted",604,20.23,20.28,10.5,53.7,0,Medium,Medium,High,Low
"Almonds, unsalted",607,20.33,20.38,10.6,53.96,0,Medium,Medium,High,Low
"Almonds, flavored",599,20.07,20.12,10.4,53.27,0,Medium,Medium,High,Low
"Almonds, honey roasted",579,14.11,35.84,7.3,45.34,0,Low,Medium,High,Low
Brazil nuts,659,14.32,11.74,7.5,67.1,0,Low,Low,High,Low
"Cashews, NFS",574,15.31,32.69,3,46.35,0,Medium,Medium,Medium,Low
"Cashews, unroasted",574,15.31,32.69,3,46.35,0,Medium,Medium,Medium,Low
"Cashews, salted",578,14.7,31.4,2.9,47.48,0,Low,Medium,Low,Low
"Cashews, lightly salted",581,14.78,31.55,2.9,47.72,0,Low,Medium,Low,Low
"Cashews, unsalted",584,14.85,31.71,2.9,47.96,0,Low,Medium,Low,Low
"Cashews, honey roasted",563,10.31,43.7,2,41.18,0,Low,Medium,Low,Low
Chestnuts,245,3.17,52.96,5.1,2.2,0,Low,Medium,Medium,Low
"Coconut, fresh",354,3.33,15.23,9,33.49,0,Low,Low,High,Low
"Coconut, packaged",456,3.13,51.85,9.9,27.99,0,Low,Medium,High,Low
Hazelnuts,628,14.95,16.7,9.7,60.75,0,Low,Low,High,Low
Macadamia nuts,716,7.79,12.83,8,76.08,0,Low,Low,High,Low
"Mixed nuts, NFS",610,19.59,20.9,7.4,53.82,0,Medium,Medium,High,Low
"Mixed nuts, unroasted",616,16.97,22.88,7.2,54.56,0,Medium,Medium,High,Low
"Mixed nuts, with peanuts, salted",610,19.59,20.9,7.4,53.82,0,Medium,Medium,High,Low
"Mixed nuts, with peanuts, lightly salted",612,19.67,20.99,7.4,54.04,0,Medium,Medium,High,Low
"Mixed nuts, with peanuts, unsalted",615,19.75,21.07,7.5,54.25,0,Medium,Medium,High,Low
"Mixed nuts, without peanuts, salted",620,16.32,22,6.9,55.5,0,Medium,Medium,High,Low
"Mixed nuts, without peanuts, unsalted",625,16.45,22.18,7,55.95,0,Medium,Medium,High,Low
"Mixed nuts, honey roasted",586,15.35,33.11,5.8,46.72,0,Medium,Medium,Medium,Low
"Peanuts, NFS",587,24.35,21.26,8.4,49.66,0,Medium,Medium,High,Low
"Peanuts, boiled",318,13.5,21.26,8.8,22.01,0,Low,Medium,High,Low
"Peanuts, unroasted",567,25.8,16.13,8.5,49.24,0,High,Low,High,Low
"Peanuts, roasted, salted",599,28.03,15.26,9.4,52.5,0,High,Low,High,Low
"Peanuts, roasted, unsalted",599,28.03,15.26,9.4,52.5,0,High,Low,High,Low
"Peanuts, dry roasted, salted",587,24.35,21.26,8.4,49.66,0,Medium,Medium,High,Low
"Peanuts, dry roasted, lightly salted",584,24.23,21.15,8.4,49.41,0,Medium,Medium,High,Low
"Peanuts, dry roasted, unsalted",587,24.35,21.26,8.4,49.66,0,Medium,Medium,High,Low
"Peanuts, honey roasted",574,20.7,30.02,7.1,45.25,0,Medium,Medium,High,Low
"Pecans, NFS",750,9.96,12.7,5.8,73.28,0,Low,Low,Medium,Low
"Pecans, unroasted",750,9.96,12.7,5.8,73.28,0,Low,Low,Medium,Low
"Pecans, salted",747,9.57,12.2,5.6,73.35,0,Low,Low,Medium,Low
"Pecans, unsalted",754,9.66,12.32,5.6,74.08,0,Low,Low,Medium,Low
"Pecans, honey roasted",681,6.71,30.25,3.9,59.31,0,Low,Medium,Medium,Low
Pine nuts,673,13.69,13.08,3.7,68.37,0,Low,Low,Medium,Low
"Pistachio nuts, NFS",572,21.05,28.28,10.3,45.82,0,Medium,Medium,High,Low
"Pistachio nuts, salted",576,20.22,27.16,9.9,46.98,0,Medium,Medium,High,Low
"Pistachio nuts, lightly salted",579,20.32,27.3,9.9,47.21,0,Medium,Medium,High,Low
"Pistachio nuts, unsalted",582,20.42,27.43,10,47.44,0,Medium,Medium,High,Low
"Walnuts, excluding honey roasted",730,14.56,10.91,5.2,69.74,0,Low,Low,Medium,Low
"Walnuts, honey roasted",668,9.8,29.04,3.5,56.92,0,Low,Medium,Medium,Low
Almond butter,641,20.67,21.11,9.6,52.72,0,Medium,Medium,High,Low
"Almond butter, lower sodium",645,20.79,21.24,9.7,53.04,0,Medium,Medium,High,Low
Almond paste,458,9,47.81,4.8,27.74,0,Low,Medium,Medium,Low
Cashew butter,609,12.12,30.3,3,53.03,0,Low,Medium,Medium,Low
Peanut butter,598,22.21,22.31,5,51.36,0,Medium,Medium,Medium,Low
"Peanut butter, lower sodium",598,22.21,22.31,5,51.36,0,Medium,Medium,Medium,Low
"Peanut butter, lower sodium and lower sugar",624,23.5,18.27,6.4,53.12,0,Medium,Low,High,Low
"Peanut butter, lower sugar",650,24.8,14.23,7.8,54.89,0,Medium,Low,High,Low
"Peanut butter, reduced fat",520,25.9,35.65,5.2,34,0,High,Medium,Medium,Low
"Peanut butter, vitamin and mineral fortified",591,25.72,18.75,5.6,50.81,0,High,Low,Medium,Low
Peanut butter and jelly,432,11.18,46.13,3,25.69,0,Low,Medium,Medium,Low
Peanut butter and chocolate spread,498,11.66,42.76,3,34.48,0,Low,Medium,Medium,Low
Soy nut butter,613,23.02,23,10.6,50.01,0,Medium,Medium,High,Low
Peanut sauce,257,6.31,22.02,1.8,16.02,0,Low,Medium,Low,Low
"Soup, peanut",88,3.24,8.36,1.7,5.29,0,Low,Low,Low,Low
"Gravy, vegetarian",144,3.84,9.21,0.2,10.2,23,Low,Low,Low,Medium
"Peanut butter sandwich, NFS",382,13.88,39.85,3.2,20.21,0,Low,Medium,Medium,Low
"Peanut butter sandwich, with regular peanut butter, on white bread",382,13.88,39.85,3.2,20.21,0,Low,Medium,Medium,Low
"Peanut butter sandwich, with regular peanut butter, on wheat bread",380,15.16,37.38,5.3,20.46,0,Medium,Medium,Medium,Low
"Peanut butter sandwich, with reduced fat peanut butter, on white bread",355,15.16,44.49,3.3,14.17,0,Medium,Medium,Medium,Low
"Peanut butter sandwich, with reduced fat peanut butter, on wheat bread",353,16.44,42.02,5.3,14.42,0,Medium,Medium,Medium,Low
"Peanut butter and jelly sandwich, NFS",361,11.42,45.22,2.8,16.6,0,Low,Medium,Low,Low
"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread",361,11.42,45.22,2.8,16.6,0,Low,Medium,Low,Low
"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread",360,12.48,43.2,4.5,16.81,0,Low,Medium,Medium,Low
"Peanut butter and jelly sandwich, with reduced fat peanut butter, on white bread",339,12.48,49.03,2.9,11.64,0,Low,Medium,Low,Low
"Peanut butter and jelly sandwich, with reduced fat peanut butter, on wheat bread",337,13.53,47.01,4.6,11.85,0,Low,Medium,Medium,Low
"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on white bread",341,11.4,39.45,2.9,16.61,0,Low,Medium,Low,Low
"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread",339,12.45,37.42,4.6,16.82,0,Low,Medium,Medium,Low
"Peanut butter and jelly sandwich, frozen commercial product without crusts",361,11.42,45.22,2.8,16.6,0,Low,Medium,Low,Low
"Almond butter sandwich, on white bread",397,13.34,39.43,4.9,20.68,0,Low,Medium,Medium,Low
"Almond butter sandwich, on wheat bread",395,14.62,36.97,6.9,20.93,0,Low,Medium,High,Low
"Almond butter and jelly sandwich, on white bread",374,10.98,44.88,4.2,16.99,0,Low,Medium,Medium,Low
"Almond butter and jelly sandwich, on wheat bread",372,12.04,42.86,5.8,17.2,0,Low,Medium,Medium,Low
Nutella sandwich on white bread,362,8.03,53.78,3.4,12.68,0,Low,Medium,Medium,Low
Nutella sandwich on wheat bread,359,9.32,51.31,5.4,12.93,0,Low,Medium,Medium,Low
"Coconut milk, used in cooking",230,2.29,5.54,2.2,23.84,0,Low,Low,Low,Low
"Yogurt, coconut milk",108,2.37,12.91,1.2,5.61,0,Low,Low,Low,Low
"Yogurt, almond milk",128,3.03,12.98,1.5,7.03,0,Low,Low,Low,Low
"Coconut cream, canned, sweetened",357,1.17,53.21,0.2,16.31,0,Low,Medium,Low,Low
"Coconut water, unsweetened",18,0.22,4.24,0,0,0,Low,Low,Low,Low
"Coconut water, sweetened",37,0.21,9.07,0,0.02,0,Low,Low,Low,Low
"Trail mix, NFS",454,10.9,51.06,6.4,26.83,0,Low,Medium,High,Low
Trail mix with nuts,604,20.06,21.07,7.9,52.98,0,Medium,Medium,High,Low
Trail mix with nuts and fruit,454,10.9,51.06,6.4,26.83,0,Low,Medium,High,Low
Trail mix with chocolate,503,11.65,48.27,5.9,32.26,4,Low,Medium,Medium,Low
"Trail mix with pretzels, cereal, or granola",476,13.09,50.59,6,27.66,0,Low,Medium,High,Low
"Pumpkin seeds, NFS",574,29.84,14.71,6.5,49.05,0,High,Low,High,Low
"Pumpkin seeds, salted",567,29.49,14.54,6.4,48.47,0,High,Low,High,Low
"Pumpkin seeds, unsalted",574,29.84,14.71,6.5,49.05,0,High,Low,High,Low
"Sunflower seeds, plain, unsalted",582,19.33,24.07,11.1,49.8,0,Medium,Medium,High,Low
"Sunflower seeds, plain, salted",575,19.1,23.78,11,49.21,0,Medium,Medium,High,Low
"Sunflower seeds, flavored",567,18.45,25.92,10.6,47.56,0,Medium,Medium,High,Low
"Sunflower seeds, NFS",582,19.33,24.07,11.1,49.8,0,Medium,Medium,High,Low
Sesame seeds,631,20.45,11.73,11.6,61.21,0,Medium,Low,High,Low
Tahini,697,19.71,14.18,8.4,62.4,0,Medium,Low,High,Low
Flax seeds,545,18.04,34.36,23.1,37.28,0,Medium,Medium,High,Low
Mixed seeds,580,21.96,21.73,10,49.61,0,Medium,Medium,High,Low
Chia seeds,486,16.54,42.12,34.4,30.74,0,Medium,Medium,High,Low
"Bread, NS as to major flour",267,9.43,49.2,2.3,3.59,0,Low,Medium,Low,Low
"Bread, NS as to major flour, toasted",293,10.36,54.07,2.5,3.94,0,Low,Medium,Low,Low
"Bread, made from home recipe or purchased at a bakery, NS as to major flour",272,10.13,50.26,1.7,3.44,4,Low,Medium,Low,Low
"Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour",299,11.14,55.23,1.9,3.78,5,Low,Medium,Low,Low
"Roll, NS as to major flour",279,9.77,50.12,1.8,3.91,0,Low,Medium,Low,Low
"Roll, hard, NS as to major flour",293,9.9,52.7,2.3,4.3,0,Low,Medium,Low,Low
"Roll, bran, NS as to type of bran",263,9.6,44.6,3.8,6,0,Low,Medium,Medium,Low
"Bread, white",267,9.43,49.2,2.3,3.59,0,Low,Medium,Low,Low
"Bread, white, toasted",293,10.36,54.07,2.5,3.94,0,Low,Medium,Low,Low
"Bread, white, made from home recipe or purchased at a bakery",272,10.13,50.26,1.7,3.44,4,Low,Medium,Low,Low
"Bread, white, made from home recipe or purchased at a bakery, toasted",299,11.14,55.23,1.9,3.78,5,Low,Medium,Low,Low
"Bread, white with whole wheat swirl",260,10.86,46.15,4.2,3.57,0,Low,Medium,Medium,Low
"Bread, white with whole wheat swirl, toasted",301,12.45,53.39,4.7,4.12,0,Low,Medium,Medium,Low
"Bread, Cuban",272,10.75,51.88,2.2,2.42,0,Low,Medium,Low,Low
"Bread, Cuban, toasted",299,11.81,57.01,2.4,2.66,0,Low,Medium,Low,Low
"Bread, native, water, Puerto Rican style",279,10.39,52.16,1.8,3.25,0,Low,Medium,Low,Low
"Bread, native, water, toasted, Puerto Rican style",306,11.41,57.32,2,3.58,0,Low,Medium,Low,Low
"Bread, lard, Puerto Rican style",282,7.33,56.1,2,3.26,2,Low,Medium,Low,Low
"Bread, lard, toasted, Puerto Rican style",314,8.14,62.34,2.2,3.62,2,Low,High,Low,Low
"Bread, French or Vienna",272,10.75,51.88,2.2,2.42,0,Low,Medium,Low,Low
"Bread, French or Vienna, toasted",299,11.81,57.01,2.4,2.66,0,Low,Medium,Low,Low
"Focaccia, Italian, plain",249,8.77,35.82,1.8,7.89,0,Low,Medium,Low,Low
"Bread, naan",311,11.09,50.23,5.2,7.28,1,Low,Medium,Medium,Low
"Bread, Italian, Grecian, Armenian",259,9.49,48.11,2.1,2.73,0,Low,Medium,Low,Low
"Bread, Italian, Grecian, Armenian, toasted",285,10.43,52.87,2.3,3,0,Low,Medium,Low,Low
"Bread, pita",275,9.1,55.7,2.2,1.2,0,Low,Medium,Low,Low
"Bread, pita with fruit",279,8.16,59.51,2.6,1.05,0,Low,Medium,Low,Low
"Bread, cheese",408,10.42,44.83,2.1,20.83,10,Low,Medium,Low,Low
"Bread, cheese, toasted",448,11.45,49.26,2.3,22.89,11,Low,Medium,Low,Low
"Bread, cinnamon",253,7.05,44.38,3.5,5.29,0,Low,Medium,Medium,Low
"Bread, cinnamon, toasted",293,10.36,54.07,2.5,3.94,0,Low,Medium,Low,Low
"Bread, cornmeal and molasses",285,7.91,55.25,1.6,3.82,8,Low,Medium,Low,Low
"Bread, cornmeal and molasses, toasted",313,8.69,60.72,1.8,4.2,9,Low,High,Low,Low
"Bread, egg, Challah",287,9.5,47.8,2.3,6,51,Low,Medium,Low,Medium
"Bread, egg, Challah, toasted",315,10.44,52.53,2.5,6.59,56,Low,Medium,Low,Medium
"Garlic bread, NFS",349,8.34,41.64,2.5,16.58,0,Low,Medium,Low,Low
"Garlic bread, from fast food / restaurant",349,8.34,41.64,2.5,16.58,0,Low,Medium,Low,Low
"Garlic bread, from frozen",350,8.36,41.72,2.5,16.61,0,Low,Medium,Low,Low
"Garlic bread, with parmesan cheese, from fast food / restaurant",351,8.76,41.06,2.4,16.8,2,Low,Medium,Low,Low
"Garlic bread, with parmesan cheese, from frozen",351,8.78,41.14,2.5,16.83,2,Low,Medium,Low,Low
"Garlic bread, with melted cheese, from fast food / restaurant",339,11.41,34.21,2,17.34,13,Low,Medium,Low,Low
"Garlic bread, with melted cheese, from frozen",343,10.36,36.86,2.2,17.1,8,Low,Medium,Low,Low
"Bread, onion",238,8.81,44.32,1.7,2.95,4,Low,Medium,Low,Low
"Bread, onion, toasted",262,9.68,48.7,1.9,3.24,4,Low,Medium,Low,Low
"Bread, reduced calorie and/or high fiber, white or NFS",207,8.7,44.3,9.7,2.5,0,Low,Medium,High,Low
"Bread, reduced calorie and/or high fiber, white or NFS, toasted",227,9.56,48.68,10.7,2.75,0,Low,Medium,High,Low
"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts",222,7.83,49.95,8.9,2.14,0,Low,Medium,High,Low
"Bread, reduced calorie and/or high fiber, white or NFS, with fruit and/or nuts, toasted",244,8.6,54.89,9.7,2.35,0,Low,Medium,High,Low
"Bread, white, special formula, added fiber",238,10.66,43.91,9.2,2.15,0,Low,Medium,High,Low
"Bread, white, special formula, added fiber, toasted",262,11.71,48.25,10.1,2.36,0,Low,Medium,High,Low
"Bread, high protein, toasted",269,13.3,48.13,3.3,2.42,0,Low,Medium,Medium,Low
"Bread, potato",266,12.5,47.07,6.3,3.13,0,Low,Medium,High,Low
"Bread, potato, toasted",292,13.74,51.72,6.9,3.44,0,Low,Medium,High,Low
"Bread, raisin",270,8.82,52.21,2.5,3.26,0,Low,Medium,Low,Low
"Bread, raisin, toasted",297,9.69,57.38,2.8,3.58,0,Low,Medium,Low,Low
"Bread, sour dough",272,10.75,51.88,2.2,2.42,0,Low,Medium,Low,Low
"Bread, sour dough, toasted",299,11.81,57.01,2.4,2.66,0,Low,Medium,Low,Low
"Bread, sweet potato",241,8.64,45.38,1.7,2.87,4,Low,Medium,Low,Low
"Bread, sweet potato, toasted",265,9.5,49.87,1.9,3.15,4,Low,Medium,Low,Low
"Bread, vegetable",259,9.67,47.98,1.8,3.26,4,Low,Medium,Low,Low
"Bread, vegetable, toasted",284,10.62,52.72,2,3.58,4,Low,Medium,Low,Low
Bruschetta,171,4.29,21.32,1.5,7.61,0,Low,Medium,Low,Low
"Bread, dough, fried",384,9.36,44.97,1.5,18.84,3,Low,Medium,Low,Low
"Roll, white, soft",279,9.77,50.12,1.8,3.91,0,Low,Medium,Low,Low
"Roll, white, hard",293,9.9,52.7,2.3,4.3,0,Low,Medium,Low,Low
"Roll, white, hot dog bun",267,9.43,49.2,2.3,3.59,0,Low,Medium,Low,Low
"Roll, white, hamburger bun",267,9.43,49.2,2.3,3.59,0,Low,Medium,Low,Low
"Roll, diet",272,10.75,51.88,2.2,2.42,0,Low,Medium,Low,Low
"Roll, egg bread",287,9.5,47.8,2.3,6,51,Low,Medium,Low,Medium
"Roll, cheese",315,11.48,49.56,1.9,7.85,9,Low,Medium,Low,Low
"Roll, French or Vienna",272,10.75,51.88,2.2,2.42,0,Low,Medium,Low,Low
"Roll, garlic",309,10.84,51.92,2,6.44,4,Low,Medium,Low,Low
"Roll, white, hoagie, submarine",279,9.77,50.12,1.8,3.91,0,Low,Medium,Low,Low
"Roll, Mexican, bolillo",318,10.65,55.77,2.2,5.8,1,Low,Medium,Low,Low
"Roll, sour dough",272,10.75,51.88,2.2,2.42,0,Low,Medium,Low,Low
"Roll, sweet, no frosting",321,10.04,53.58,3.1,7.37,55,Low,Medium,Medium,Medium
"Roll, sweet, cinnamon bun, no frosting",372,6.2,50.9,2.4,16.4,66,Low,Medium,Low,Medium
"Roll, sweet, cinnamon bun, frosted",452,4.45,48.6,1.2,26.61,5,Low,Medium,Low,Low
"Pan dulce, NFS",371,9.07,56.36,2.2,12.2,29,Low,Medium,Low,Medium
"Pan Dulce, with fruit, no frosting",372,6.2,50.9,2.4,16.4,66,Low,Medium,Low,Medium
"Roll, sweet, with fruit, frosted",379,5.23,53.56,2,16.37,56,Low,Medium,Low,Medium
"Roll, sweet, with fruit, frosted, diet",452,4.45,48.6,1.2,26.61,5,Low,Medium,Low,Low
"Roll, sweet, frosted",404,5.54,50.85,2.3,20.14,52,Low,Medium,Low,Medium
"Pan Dulce, no topping",367,9.42,56.38,2.3,11.58,30,Low,Medium,Low,Medium
"Pan Dulce, with sugar topping",374,8.73,56.35,2.1,12.82,28,Low,Medium,Low,Medium
"Pan Dulce, with raisins and icing",368,8.29,58.57,2.2,11.39,26,Low,Medium,Low,Medium
"Coffee cake, yeast type",372,6.2,50.9,2.4,16.4,66,Low,Medium,Low,Medium
Croissant,406,8.2,45.8,2.6,21,67,Low,Medium,Low,Medium
"Croissant, cheese",414,9.2,47,2.6,20.9,57,Low,Medium,Low,Medium
"Croissant, chocolate",421,7.4,49.4,3.3,22.79,54,Low,Medium,Medium,Medium
"Croissant, fruit",396,7.75,47.04,3,19.72,63,Low,Medium,Medium,Medium
Brioche,427,8.96,36.31,1.5,27.46,174,Low,Medium,Low,High
"Bread, Spanish coffee",348,7.93,58.84,1.9,9.06,37,Low,Medium,Low,Medium
Bagel,264,10.56,52.38,1.6,1.32,0,Low,Medium,Low,Low
"Bagel, with raisins",268,9.83,55.07,1.9,1.21,0,Low,Medium,Low,Low
"Bagel, with fruit other than raisins",243,9.55,48.36,1.7,1.25,0,Low,Medium,Low,Low
Bread stuffing,177,3.14,21.71,0.9,8.51,0,Low,Medium,Low,Low
Bread stuffing made with egg,192,3.31,17.77,0.8,11.92,25,Low,Low,Low,Medium
"Breadsticks, NFS",342,12.18,44.39,2.4,12.85,7,Low,Medium,Low,Low
"Breadsticks, hard, NFS",412,12,68.4,3,9.5,0,Low,High,Medium,Low
"Breadsticks, hard, reduced sodium",434,12.01,72.23,2.5,10.86,0,Low,High,Low,Low
"Breadsticks, soft, NFS",342,12.18,44.39,2.4,12.85,7,Low,Medium,Low,Low
"Breadsticks, soft, fast food / restaurant",342,12.18,44.39,2.4,12.85,7,Low,Medium,Low,Low
"Breadsticks, soft, frozen",313,11.09,46.37,2.4,9.16,4,Low,Medium,Low,Low
"Breadsticks, soft, with parmesan cheese, fast food / restaurant",344,12.52,43.76,2.3,13.15,9,Low,Medium,Low,Low
"Breadsticks, soft, stuffed or topped with melted cheese",333,14.48,36.41,1.9,14.36,19,Low,Medium,Low,Low
Croutons,465,10.8,63.5,5,18.3,7,Low,High,Medium,Low
"Muffin, English",227,8.87,44.17,3.5,1.69,0,Low,Medium,Medium,Low
"Muffin, English, with raisins",234,8.31,47.68,3.6,1.55,0,Low,Medium,Medium,Low
"Muffin, English, cheese",236,9.59,42.08,3.3,3.31,5,Low,Medium,Medium,Low
"Muffin, English, with fruit other than raisins",244,9.31,47.64,3.9,1.79,0,Low,Medium,Medium,Low
Melba toast,390,12.1,76.6,6.3,3.2,0,Low,High,High,Low
Anisette toast,373,7.63,66.99,1.4,8.38,46,Low,High,Low,Medium
Pannetone,325,9.76,53.75,2.3,8.39,61,Low,Medium,Low,Medium
Zwieback toast,426,10.1,74.2,2.5,9.7,8,Low,High,Low,Low
"Bread, whole grain white",238,10.66,43.91,9.2,2.15,0,Low,Medium,High,Low
"Bread, whole grain white, toasted",262,11.71,48.25,10.1,2.36,0,Low,Medium,High,Low
"Bagel, whole grain white",250,10.2,48.89,4.1,1.53,0,Low,Medium,Medium,Low
"Bread, whole wheat",254,12.3,43.1,6,3.55,0,Low,Medium,High,Low
"Bread, whole wheat, toasted",279,13.52,47.36,6.6,3.9,0,Low,Medium,High,Low
"Bread, whole wheat, made from home recipe or purchased at bakery",267,10.38,46.96,6.8,4.26,5,Low,Medium,High,Low
"Bread, whole wheat, made from home recipe or purchased at bakery, toasted",293,11.4,51.61,7.4,4.68,5,Low,Medium,High,Low
"Bread, chappatti or roti",299,7.85,46.13,9.7,9.2,0,Low,Medium,High,Low
"Bread, puri",409,6.84,39.23,3.5,24.94,0,Low,Medium,Medium,Low
"Bread, paratha",326,6.36,45.35,9.6,13.2,1,Low,Medium,High,Low
"Bread, whole wheat, with raisins",290,8.63,56.35,6.5,4.14,6,Low,Medium,High,Low
"Bread, whole wheat, with raisins, toasted",319,9.48,61.92,7.2,4.55,6,Low,High,High,Low
"Bread, sprouted wheat",188,13.16,33.88,5.3,0,0,Low,Medium,Medium,Low
"Bread, sprouted wheat, toasted",207,14.46,37.23,5.8,0,0,Low,Medium,Medium,Low
"Bread, wheat or cracked wheat",274,10.67,47.54,4,4.53,0,Low,Medium,Medium,Low
"Bread, wheat or cracked wheat, toasted",301,11.72,52.24,4.4,4.98,0,Low,Medium,Medium,Low
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery",271,10.33,49.2,3.4,3.72,4,Low,Medium,Medium,Low
"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted",297,11.35,54.06,3.7,4.09,5,Low,Medium,Medium,Low
"Bread, wheat or cracked wheat, with raisins",292,8.66,57.73,3.9,3.72,6,Low,Medium,Medium,Low
"Bread, wheat or cracked wheat, with raisins, toasted",321,9.51,63.44,4.3,4.08,6,Low,High,Medium,Low
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber",207,8.91,44.91,10.7,2.55,0,Low,Medium,High,Low
"Bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted",228,9.79,49.35,11.8,2.8,0,Low,Medium,High,Low
"Bread, French or Vienna, whole wheat",239,8.33,49.1,4.2,1.04,0,Low,Medium,Medium,Low
"Bread, French or Vienna, whole wheat, toasted",263,9.15,53.96,4.6,1.14,0,Low,Medium,Medium,Low
"Bread, pita, whole wheat",262,9.8,55.89,6.1,1.71,0,Low,Medium,High,Low
"Bread, pita, wheat or cracked wheat",262,9.8,55.89,6.1,1.71,0,Low,Medium,High,Low
"Bagel, wheat",250,10.2,48.89,4.1,1.53,0,Low,Medium,Medium,Low
"Bagel, whole wheat",250,10.2,48.89,4.1,1.53,0,Low,Medium,Medium,Low
"Bagel, wheat, with raisins",255,9.51,51.93,4.1,1.4,0,Low,Medium,Medium,Low
"Bagel, whole wheat, with raisins",255,9.51,51.93,4.1,1.4,0,Low,Medium,Medium,Low
